game_id,period,teamTricode,period_points,possessions,major_runs,run_points,pts_per_poss,game_control_index
S2324-G0009,2,WAS,36.0,23,0,117.0,1.5,1.017
S2324-G0009,3,CHA,31.0,28,0,124.0,1.0689655172413792,0.7653793103448275
S2324-G0009,3,WAS,34.0,28,0,117.0,1.1724137931034482,0.8204482758620689
S2324-G0009,4,CHA,36.0,25,0,124.0,1.3846153846153846,0.9547692307692307
S2324-G0009,4,WAS,20.0,24,0,117.0,0.8,0.597
S2324-G0010,1,BKN,33.0,25,0,107.0,1.2692307692307692,0.8685384615384615
S2324-G0010,1,BOS,38.0,23,0,121.0,1.5833333333333333,1.071
S2324-G0010,2,BKN,21.0,19,0,107.0,1.05,0.737
S2324-G0010,2,BOS,28.0,19,0,121.0,1.4,0.961
S2324-G0010,3,BKN,30.0,22,0,107.0,1.3043478260869565,0.8896086956521739
S2324-G0010,3,BOS,27.0,23,0,121.0,1.125,0.7959999999999999
S2324-G0010,4,BKN,23.0,18,0,107.0,1.2105263157894737,0.8333157894736841
S2324-G0010,4,BOS,28.0,21,0,121.0,1.2727272727272727,0.8846363636363636
S2324-G0011,1,HOU,26.0,23,0,104.0,1.0833333333333333,0.7539999999999999
S2324-G0011,1,NOP,31.0,20,0,101.0,1.4761904761904763,0.9867142857142858
S2324-G0011,2,HOU,28.0,22,0,104.0,1.2173913043478262,0.8344347826086956
S2324-G0011,2,NOP,17.0,21,0,101.0,0.7727272727272727,0.5646363636363636
S2324-G0011,3,HOU,16.0,19,0,104.0,0.8,0.584
S2324-G0011,3,NOP,31.0,20,0,101.0,1.4761904761904763,0.9867142857142858
S2324-G0011,4,HOU,34.0,21,0,104.0,1.5454545454545454,1.0312727272727273
S2324-G0011,4,NOP,22.0,23,0,101.0,0.9166666666666666,0.6509999999999999
S2324-G0012,1,MEM,32.0,25,0,121.0,1.2307692307692308,0.8594615384615385
S2324-G0012,1,UTA,34.0,25,0,127.0,1.3076923076923077,0.9116153846153846
S2324-G0012,2,MEM,31.0,25,0,121.0,1.1923076923076923,0.8363846153846154
S2324-G0012,2,UTA,42.0,27,0,127.0,1.5,1.027
S2324-G0012,3,MEM,32.0,22,0,121.0,1.391304347826087,0.9557826086956521
S2324-G0012,3,UTA,27.0,21,0,127.0,1.2272727272727273,0.8633636363636363
S2324-G0012,4,MEM,26.0,24,0,121.0,1.04,0.745
S2324-G0012,4,UTA,24.0,22,0,127.0,1.0434782608695652,0.7530869565217391
S2324-G0013,1,MIN,22.0,26,0,117.0,0.8148148148148148,0.6058888888888888
S2324-G0013,1,SAS,27.0,29,0,110.0,0.9,0.65
S2324-G0013,2,MIN,34.0,21,0,117.0,1.5454545454545454,1.0442727272727272
S2324-G0013,2,SAS,27.0,22,0,110.0,1.173913043478261,0.8143478260869565
S2324-G0013,3,MIN,34.0,24,0,117.0,1.36,0.933
S2324-G0013,3,SAS,19.0,26,0,110.0,0.7037037037037037,0.5322222222222223
S2324-G0013,4,MIN,27.0,25,0,117.0,1.0384615384615385,0.7400769230769231
S2324-G0013,4,SAS,37.0,28,0,110.0,1.2758620689655173,0.8755172413793104
S2324-G0014,1,DAL,30.0,27,0,144.0,1.0714285714285714,0.7868571428571428
S2324-G0014,1,LAC,33.0,22,0,126.0,1.434782608695652,0.9868695652173912
S2324-G0014,2,DAL,47.0,25,0,144.0,1.8076923076923077,1.2286153846153844
S2324-G0014,2,LAC,18.0,30,0,126.0,0.5806451612903226,0.47438709677419355
