game_id,playerNameI,period,y_true_drop,y_pred_drop,severity,reason
S2324-G0059,L. Doncic,1,0.6313797313797309,9.175260525768843,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0059,L. Doncic,3,-7.972727272727273,11.44353586761064,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0059,T. Hardaway Jr.,1,4.625,9.59007298519588,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0064,B. Mathurin,2,11.147610722610722,11.366254144459512,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0064,D. Gallinari,1,14.683333333333332,9.02345515376816,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0064,T. Haliburton,3,42.62943722943723,22.65620912161439,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0064,T. Jones,1,12.3,9.797888540784689,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0071,B. Ingram,1,7.379166666666666,7.959195827823994,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0071,B. Ingram,3,15.030124777183602,10.309121921009448,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0071,D. Bane,1,10.97969696969697,12.06587336222158,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0071,M. Ryan,2,18.289177489177487,7.961660657910179,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0077,C. Cunningham,1,12.954761904761906,9.309561542647444,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0077,G. Hayward,3,22.62161172161172,13.83457022262088,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0077,J. Ivey,3,10.025,9.351914828187352,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0079,B. Bogdanovic,2,14.250641025641029,11.44544356959503,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0079,C. Capela,3,18.735897435897435,8.548021263461946,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0079,D. Hunter,1,11.361752136752138,9.303069313784093,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0079,I. Quickley,2,16.217307692307696,9.596732392435747,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0079,J. Brunson,3,18.50064102564103,17.59554075326038,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0082,C. White,3,17.15302197802198,8.316112949061397,HIGH,Predicted next-period drop in performance (fatigue risk).
S2324-G0082,D. DeRozan,4,23.259523809523813,15.465058159056143,HIGH,Predicted next-period drop in performance (fatigue risk).
